Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI,Release_date,DoC_file,reqmode
GRB140619A,GRB140619A,27.108958,-39.259056,,IRAC Map PC,54904832,GRB140619A,2015-10-31 11:01:57,2015-10-31 13:11:29,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54904832/SPITZER_I_54904832_DOC.fits,IracMapPC
GRB140614B,GRB140614B,322.63125,14.929694,,IRAC Map PC,54904576,GRB140614B,2016-09-05 17:30:39,2016-09-05 19:40:10,11116,"Perley, Daniel A",2016-09-29 10:00:00,/sha/archive/proc/IRAC043400/r54904576/SPITZER_I_54904576_DOC.fits,IracMapPC
GRB140614A,GRB140614A,231.169375,-79.12875,,IRAC Map PC,60118528,GRB140614A_ch2,2016-08-09 17:24:39,2016-08-09 20:43:24,11116,"Perley, Daniel A",2016-09-01 10:00:00,/sha/archive/proc/IRAC043200/r60118528/SPITZER_I_60118528_DOC.fits,IracMapPC
GRB140614A,GRB140614A,231.169375,-79.12875,,IRAC Map PC,54904320,GRB140614A,2015-06-12 18:01:06,2015-06-12 21:19:42,11116,"Perley, Daniel A",2016-07-23 10:00:00,/sha/archive/proc/IRAC040200/r54904320/SPITZER_I_54904320_DOC.fits,IracMapPC
GRB140518A,GRB140518A,227.25258300000002,42.418306,,IRAC Map PC,60118016,GRB140518A_ch2,2016-09-15 14:44:45,2016-09-15 18:03:22,11116,"Perley, Daniel A",2016-09-29 10:00:00,/sha/archive/proc/IRAC043400/r60118016/SPITZER_I_60118016_DOC.fits,IracMapPC
GRB140518A,GRB140518A,227.25258300000002,42.418306,,IRAC Map PC,54904064,GRB140518A,2015-06-02 11:17:56,2015-06-02 15:42:55,11116,"Perley, Daniel A",2016-06-24 10:00:00,/sha/archive/proc/IRAC040100/r54904064/SPITZER_I_54904064_DOC.fits,IracMapPC
GRB140515A,GRB140515A,186.064625,15.104610999999998,,IRAC Map PC,60118272,GRB140515A_ch2,2016-08-28 09:52:14,2016-08-28 13:11:18,11116,"Perley, Daniel A",2016-09-15 10:00:00,/sha/archive/proc/IRAC043300/r60118272/SPITZER_I_60118272_DOC.fits,IracMapPC
GRB140515A,GRB140515A,186.064625,15.104610999999998,,IRAC Map PC,54903808,GRB140515A,2016-09-09 08:56:42,2016-09-09 13:21:17,11116,"Perley, Daniel A",2016-09-29 10:00:00,/sha/archive/proc/IRAC043400/r54903808/SPITZER_I_54903808_DOC.fits,IracMapPC
GRB140512A,GRB140512A,289.369917,-15.094222,,IRAC Map PC,62071296,GRB140512A,2016-12-30 11:14:44,2016-12-30 11:58:55,13104,"Perley, Daniel A",2017-01-19 10:00:00,/sha/archive/proc/IRAC044200/r62071296/SPITZER_I_62071296_DOC.fits,IracMapPC
GRB140506A,GRB140506A,276.775125,-55.635778,,IRAC Map PC,54903552,GRB140506A,2015-07-04 20:05:46,2015-07-04 20:49:54,11116,"Perley, Daniel A",2016-07-29 10:00:00,/sha/archive/proc/IRAC040300/r54903552/SPITZER_I_54903552_DOC.fits,IracMapPC
GRB140428A,GRB140428A,194.368292,28.385056,,IRAC Map PC,62071040,GRB140428A,2017-09-21 22:35:03,2017-09-22 01:53:36,13104,"Perley, Daniel A",2017-10-12 10:00:00,/sha/archive/proc/IRAC046100/r62071040/SPITZER_I_62071040_DOC.fits,IracMapPC
GRB140423A,GRB140423A,197.285583,49.8415,,IRAC Map PC,54903296,GRB140423A,2016-07-23 04:02:00,2016-07-23 08:27:10,11116,"Perley, Daniel A",2016-08-18 10:00:00,/sha/archive/proc/IRAC043100/r54903296/SPITZER_I_54903296_DOC.fits,IracMapPC
GRB140419A,GRB140419A,126.989833,46.240306,,IRAC Map PC,54903040,GRB140419A,2016-01-16 06:43:39,2016-01-16 11:08:24,11116,"Perley, Daniel A",2016-02-04 10:00:00,/sha/archive/proc/IRAC041300/r54903040/SPITZER_I_54903040_DOC.fits,IracMapPC
GRB140413A,GRB140413A,65.455125,-51.182778000000006,,IRAC Map PC,54902784,GRB140413A,2015-11-10 21:57:07,2015-11-11 00:06:38,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54902784/SPITZER_I_54902784_DOC.fits,IracMapPC
GRB140331A,GRB140331A,134.864417,2.717306,,IRAC Map PC,54902528,GRB140331A,2016-07-26 11:52:22,2016-07-26 14:01:53,11116,"Perley, Daniel A",2016-08-18 10:00:00,/sha/archive/proc/IRAC043100/r54902528/SPITZER_I_54902528_DOC.fits,IracMapPC
GRB140318A,GRB140318A,184.08925,20.209139,,IRAC Map PC,54902272,GRB140318A,2015-09-21 19:07:07,2015-09-21 19:51:18,11116,"Perley, Daniel A",2015-10-22 10:00:00,/sha/archive/proc/IRAC043000/r54902272/SPITZER_I_54902272_DOC.fits,IracMapPC
GRB140311A,GRB140311A,209.305375,0.642139,,IRAC Map PC,54902016,GRB140311A,2015-09-26 14:32:52,2015-09-26 18:57:40,11116,"Perley, Daniel A",2015-10-22 10:00:00,/sha/archive/proc/IRAC043000/r54902016/SPITZER_I_54902016_DOC.fits,IracMapPC
GRB140304A,GRB140304A,30.64275,33.473806,,IRAC Map PC,54901760,GRB140304A,2015-11-10 07:09:08,2015-11-10 11:33:41,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54901760/SPITZER_I_54901760_DOC.fits,IracMapPC
GRB140301A,GRB140301A,69.557417,-34.256528,,IRAC Map PC,54901504,GRB140301A,2015-11-08 16:19:19,2015-11-08 17:24:04,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54901504/SPITZER_I_54901504_DOC.fits,IracMapPC
GRB140226A,GRB140226A,221.491792,14.993972,,IRAC Map PC,54901248,GRB140226A,2016-05-22 13:50:28,2016-05-22 16:03:08,11116,"Perley, Daniel A",2016-06-09 10:00:00,/sha/archive/proc/IRAC042200/r54901248/SPITZER_I_54901248_DOC.fits,IracMapPC
GRB140215A,GRB140215A,104.149292,41.786611,,IRAC Map PC,54900992,GRB140215A,2016-01-01 23:43:39,2016-01-02 01:53:11,11116,"Perley, Daniel A",2016-01-21 10:00:00,/sha/archive/proc/IRAC041200/r54900992/SPITZER_I_54900992_DOC.fits,IracMapPC
GRB140213A,GRB140213A,105.15454199999999,-73.13708299999999,,IRAC Map PC,54900736,GRB140213A,2015-06-05 05:42:52,2015-06-05 06:47:37,11116,"Perley, Daniel A",2016-06-24 10:00:00,/sha/archive/proc/IRAC040100/r54900736/SPITZER_I_54900736_DOC.fits,IracMapPC
GRB140206A,GRB140206A,145.33420800000002,66.760472,,IRAC Map PC,54900480,GRB140206A,2016-01-11 10:59:41,2016-01-11 14:18:21,11116,"Perley, Daniel A",2016-02-04 10:00:00,/sha/archive/proc/IRAC041300/r54900480/SPITZER_I_54900480_DOC.fits,IracMapPC
GRB140129A,GRB140129A,37.89075,-1.595222,,IRAC Map PC,54900224,GRB140129A,2015-11-09 01:00:05,2015-11-09 03:09:37,11116,"Perley, Daniel A",2015-11-25 10:00:00,/sha/archive/proc/IRAC040800/r54900224/SPITZER_I_54900224_DOC.fits,IracMapPC
