grb,ra,dec,err
GRB 160223A , 09:50:23.64 , +09:22:12.9 , 7.5 
GRB 160221A , 15:28:21.67 , -28:27:21.1 , 2.6 
GRB 160220B , 17:19:27.65 , -18:07:26.3 , 1.5 
GRB 160220A , 15:47:48.67 , -18:33:57.7 , 1.8 
GRB 160216A , 20:46:44.24 , -71:32:54.1 , 1.4 
GRB 160206A , NO POSITION ,,
GRB 160203A , 10:47:48.33 , -24:47:20.6 , 1.5 
GRB 160131A , 05:12:40.32 , -07:02:59.4 , 1.4 
GRB 160127A , 15:03:55.76 , +00:04:22.4 , 1.4 
GRB 160123A , 10:01:15.02 , -33:46:30.7 , 1.5 
GRB 160121A , 07:16:21.14 , -23:35:31.7 , 1.5 
GRB 160119A , 14:07:41.31 , +20:27:40.4 , 1.4 
GRB 160117B , 08:48:46.71 , -16:22:01.1 , 1.4 
GRB 160117A , 01:21:28.19 , -00:39:19.2 , 1.9 
GRB 160113A , NO POSITION ,,
GRB 160104A , 05:07:11.04 , +11:19:26.4 , 1.5 
GRB 160102A , NO POSITION ,,
GRB 160101A , 14:38:36.16 , -13:48:53.9 , 2.3 
GRB 160101A , NO POSITION ,,
GRB 151229A , 21:57:28.76 , -20:43:55.5 , 1.4 
GRB 151228B , 22:57:41.90 , +08:04:52.8 , 1.5 
GRB 151228A , NO POSITION ,,
GRB 151215A , 06:14:20.21 , +35:30:58.4 , 1.6 
GRB 151212A , NO POSITION ,,
GRB 151212A , NO POSITION ,,
GRB 151212A , 04:32:36.15 , -03:57:45.3 , 2.1 
GRB 151210A , 04:20:28.02 , -71:15:01.9 , 1.5 
GRB 151205C , NO POSITION ,,
GRB 151205B , NO POSITION ,,
GRB 151205A , 15:17:09.27 , +35:44:38.1 , 1.5 
GRB 151127A , 01:17:54.27 , -82:46:14.9 , 1.9 
GRB 151122A , NO POSITION ,,
GRB 151120A , 10:28:57.91 , -32:31:35.2 , 2.2 
GRB 151118A , 03:48:41.17 , +65:54:06.1 , 1.5 
GRB 151114A , 08:03:46.35 , -61:01:40.5 , 1.5 
GRB 151112A , 00:08:12.84 , -61:39:47.6 , 1.4 
GRB 151111A , 03:47:22.74 , -44:09:41.5 , 1.5 
GRB 151107A , NO POSITION ,,
GRB 151031A , 05:32:47.02 , -39:07:18.6 , 1.5 
GRB 151029A , 02:34:06.71 , -35:23:07.8 , 1.6 
GRB 151027B , 05:04:52.67 , -06:27:00.7 , 1.4 
GRB 151027A , 18:09:56.86 , +61:21:12.1 , 1.4 
GRB 151023A , 18:03:56.30 , -08:18:58.6 , 2.1 
GRB 151022A , 23:16:47.15 , +55:48:42.2 , 1.6 
GRB 151021A , 22:30:34.43 , -33:11:50.3 , 1.4 
GRB 151006A , 09:49:42.13 , +70:30:10.8 , 1.4 
GRB 151001B , 22:27:21.40 , +64:41:37.7 , 1.6 
GRB 151001A , 15:34:54.89 , +10:58:01.9 , 1.4 
GRB 150925A , 15:10:08.22 , -19:37:58.9 , 1.5 
GRB 150915A , 21:18:37.78 , -34:54:49.7 , 3.7 
GRB 150912A , NO POSITION ,,
GRB 150911A , 04:29:44.14 , +05:44:07.6 , 1.4 
GRB 150910A , 00:22:40.16 , +33:28:22.7 , 1.4 
GRB 150907B , 17:01:12.96 , -63:47:06.3 , 1.7 
GRB 150907A , NO POSITION ,,
GRB 150902A , 14:19:54.20 , -69:21:10.1 , 3.5 
GRB 150901A , NO POSITION ,,
GRB 150831B , 18:04:09.30 , -27:15:30.8 , 3.7 
