grb,ra,dec,err
GRB 050813 , 16:07:56.92 , +11:14:57.1 , 2.7 
GRB 050803 , 23:22:37.86 , +05:47:08.5 , 1.4 
GRB 050802 , 14:37:05.87 , +27:47:11.7 , 1.4 
GRB 050801 , 13:36:35.32 , -21:55:42.7 , 1.5 
GRB 050730 , 14:08:17.17 , -03:46:18.5 , 1.4 
GRB 050726 , 13:20:11.97 , -32:03:51.5 , 1.4 
GRB 050724 , 16:24:44.33 , -27:32:26.9 , 1.5 
GRB 050721 , 16:53:44.55 , -28:22:52.5 , 1.7 
GRB 050717 , 14:17:24.59 , -50:32:00.3 , 3.6 
GRB 050716 , 22:34:20.79 , +38:41:03.4 , 1.4 
GRB 050714B , 11:18:47.68 , -15:32:49.3 , 1.5 
GRB 050714 , 02:54:23.06 , +69:06:45.9 , 4.1 
GRB 050713B , 20:31:15.57 , +60:56:42.9 , 1.4 
GRB 050713A , 21:22:09.23 , +77:04:28.7 , 1.4 
GRB 050712 , 05:10:48.07 , +64:54:48.3 , 1.5 
GRB 050701 , 15:09:01.48 , -59:24:52.4 , 2.3 
GRB 050607 , 20:00:42.90 , +09:08:28.8 , 5.5 
GRB 050603 , 02:39:56.91 , -25:10:54.8 , 1.4 
GRB 050525A , 18:32:32.64 , +26:20:21.6 , 1.5 
GRB 050520 , 12:50:05.98 , +30:27:04.1 , 4.0 
GRB 050509B , 12:36:13.75 , +28:59:03.4 , 3.6 
GRB 050509A , 20:42:20.03 , +54:04:16.6 , 2.3 
GRB 050505 , 09:27:03.35 , +30:16:24.2 , 1.4 
GRB 050504 , 13:24:01.31 , +40:42:14.5 , 2.8 
GRB 050502B , 09:30:10.14 , +16:59:47.7 , 1.4 
GRB 050422 , 21:37:54.71 , +55:46:44.9 , 3.7 
GRB 050421 , 20:29:02.71 , +73:39:17.9 , 1.6 
GRB 050416A , 12:33:54.64 , +21:03:26.8 , 1.4 
GRB 050412 , 12:04:25.26 , -01:12:00.7 , 3.9 
GRB 050410 , 05:59:13.79 , +79:36:13.2 , 2.0 
GRB 050408 , 12:02:17.32 , +10:51:09.7 , 1.4 
GRB 050406 , 02:17:52.15 , -50:11:16.4 , 1.9 
GRB 050401 , 16:31:28.80 , +02:11:14.4 , 3.5 
GRB 050326 , 00:27:47.06 , -71:22:15.0 , 2.7 
GRB 050319 , 10:16:48.00 , +43:32:50.8 , 2.1 
GRB 050318 , 03:18:51.11 , -46:23:45.6 , 1.4 
GRB 050315 , 20:25:54.16 , -42:36:01.9 , 1.4 
GRB 050223 , 18:05:32.31 , -62:28:19.9 , 2.4 
GRB 050219B , 05:25:16.14 , -57:45:28.6 , 1.5 
GRB 050219A , 11:05:38.94 , -40:41:02.6 , 1.9 
GRB 050215B , 11:37:47.58 , +40:47:49.2 , 2.2 
GRB 050128 , 14:38:17.72 , -34:45:55.3 , 1.7 
GRB 050126 , 18:32:27.07 , +42:22:13.7 , 3.6 
GRB 050124 , 12:51:30.46 , +13:02:39.0 , 1.5 
GRB 041223 , 06:40:47.37 , -37:04:24.6 , 3.5 
GRB 041218 , 01:39:07.25 , +71:20:29.1 , 5.0 
