grb,ra,dec
GRB140414A,13h01m14s,+56d54m
GRB140413A,04h21m48s,-51d12m
GRB140412A,09h40m12s,-65d49m
GRB140408A,19h22m44s,-12d35m
GRB140402A,13h49m53s,+05d52m
GRB140331A,08h59m23s,+02d42m
GRB140330A,21h52m16s,-57d45m
GRB140329A,09h44m59s,-32d06m
GRB140323A,23h47m33s,-79d55m
GRB140320D,05h51m34s,+85d26m
GRB140320C,08h57m32s,+71d12m
GRB140320B,09h42m16s,+60d15m
GRB140320A,18h46m36s,-02d42m
GRB140318A,12h16m13s,+20d12m
GRB140311B,16h49m10s,+52d45m
GRB140311A,13h57m12s,+00d37m
GRB140308A,23h50m15s,-33d21m
GRB140306A,01h51m46s,+48d59m
GRB140305A,22h58m08s,+15d26m
GRB140304A,02h02m40s,+33d29m
GRB140302A,16h55m22s,-12d52m
GRB140301A,04h38m11s,-34d17m
GRB140226A,14h45m58s,+15d00m
GRB140221A,07h09m47s,-17d20m
GRB140219A,10h25m46s,+07d28m
GRB140215A,06h56m33s,+41d47m
GRB140213A,07h00m52s,-73d08m
GRB140211A,08h16m55s,+20d15m
GRB140209A,05h25m20s,+32d29m
GRB140206A,09h41m24s,+66d45m
GRB140129B,21h47m03s,+26d12m
GRB140129A,02h31m29s,-01d35m
GRB140118A,22h04m01s,-17d57m
GRB140114A,12h33m56s,+12d35m
GRB140110A,01h55m36s,-36d16m
GRB140108A,21h40m43s,+58d46m
GRB140104B,14h35m14s,-08d54m
GRB140103A,15h28m31s,+37d45m
GRB140102A,14h07m37s,+01d20m
GRB131231A,00h42m20s,-01d51m
GRB131229A,05h40m57s,-04d26m
GRB131227A,04h29m31s,+28d53m
GRB131226A,20h05m14s,-64d58m
GRB131225A,06h20m09s,+05d19m
GRB131224A,19h47m20s,+31d40m
GRB131218A,07h35m12s,-64d43m
GRB131216A,06h18m42s,-41d38m
GRB131215A,17h16m07s,-07d35m
GRB131209A,09h06m00s,-33d12m
GRB131205A,08h46m26s,-60d10m
GRB131202A,22h56m13s,-21d39m
GRB131128A,23h41m18s,+31d17m
GRB131127A,22h11m00s,+36d35m
